,Cities,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,port blair,in,14.749788371678648,90.40056991439496,79.49,100.0,92.0,23.09
1,barrow,us,84.80968557559183,-150.8718328518593,37.46,47.0,0.0,3.06
2,rikitea,pf,-31.288313311548706,-112.01762476533563,72.83,100.0,0.0,13.8
4,tasiilaq,gl,55.67845104847291,-34.01694468013483,41.87,100.0,88.0,0.04
6,yellowknife,ca,68.38826559047033,-106.94684757981676,51.8,71.0,75.0,10.29
7,trinidad,bo,-15.176476209355144,-65.57826897004811,46.4,61.0,0.0,6.93
8,busselton,au,-38.16569056949368,94.51253810687894,53.39,100.0,88.0,8.21
9,pisco,pe,-18.28356034964304,-82.89696113506152,71.6,30.0,0.0,8.05
10,rikitea,pf,-48.01654121785673,-123.08491597810357,72.83,100.0,0.0,13.8
11,severo-kurilsk,ru,39.57323299967402,166.29711590078455,52.4,95.0,68.0,4.97
13,nizhnyaya tura,ru,58.58703272703568,59.996424228563626,56.9,94.0,92.0,5.97
14,khandyga,ru,64.7824550571153,135.92842186546187,57.44,84.0,0.0,3.18
15,new norfolk,au,-88.59269399200844,119.4369028689373,50.0,57.0,75.0,14.99
17,verkh-usugli,ru,53.84448441611903,115.48007645992851,60.95,76.0,68.0,3.4
18,saskylakh,ru,88.52277035650616,110.33748812512476,47.99,90.0,0.0,5.97
19,the valley,ai,24.400816833236107,-60.413305441849985,81.54,69.0,20.0,12.75
20,mataura,pf,-69.98075783200576,-153.41256228995294,55.73,76.0,0.0,17.72
21,biltine,td,17.367644931539246,22.433542345904414,68.24,96.0,64.0,8.43
22,ugoofaaru,mv,6.533722646915706,63.12016423147773,80.57,100.0,88.0,13.8
23,taltal,cl,-25.239982767033865,-82.53428348706855,55.01,89.0,0.0,2.17
24,bluff,nz,-47.78557058132479,167.6181747753497,68.69,71.0,44.0,4.52
25,vaini,to,-24.655335357774163,-175.99848720356886,67.43,98.0,92.0,6.42
27,yellowknife,ca,60.272968691739976,-111.97468203828964,51.8,71.0,75.0,10.29
28,punta arenas,cl,-76.93775384362857,-95.37490345798007,42.8,75.0,75.0,10.29
29,narsaq,gl,79.32470756890211,-64.99067609579062,44.6,81.0,75.0,4.7
30,rikitea,pf,-37.0958757627099,-130.6875570070861,72.83,100.0,0.0,13.8
31,netanya,il,32.849336354186036,33.16782560145447,78.8,74.0,40.0,3.36
32,hermanus,za,-63.516655552619284,5.3500136840026755,45.29,99.0,92.0,11.79
33,tommot,ru,57.807644674421994,128.08881238128407,52.22,100.0,92.0,3.96
34,dingle,ie,52.65478674567777,-19.446148046031396,81.2,79.0,76.0,5.53
35,itarema,br,1.7236331795382114,-38.54570663870342,78.5,78.0,0.0,16.71
36,butaritari,ki,18.114832541613495,161.60425451553107,85.16,100.0,68.0,6.76
37,port alfred,za,-71.28955482756054,42.66897519962481,59.96,95.0,0.0,7.54
38,orcopampa,pe,-15.311675306510296,-72.53248877393979,32.69,69.0,56.0,1.95
40,hobart,au,-65.362185729245,144.48496179441923,50.0,57.0,75.0,14.99
42,schleswig,de,54.64981895135975,9.65023995556956,52.25,76.0,88.0,8.05
43,angoche,mz,-17.18118267869798,40.227052343112234,75.08,100.0,0.0,7.54
44,rikitea,pf,-64.24484534052469,-140.1366723599106,72.83,100.0,0.0,13.8
45,ariquemes,br,-9.955343273167287,-63.60872359545644,72.56,87.0,56.0,3.96
46,ler,sd,8.3134517289337,29.8264961237561,50.0,87.0,75.0,12.75
47,paamiut,gl,64.20815309931706,-48.3511070631391,43.85,92.0,56.0,19.84
48,marsa matruh,eg,27.778345170055047,26.317111383438345,77.0,83.0,0.0,4.7
49,kruisfontein,za,-54.91239371734617,25.737771018698595,57.89,77.0,0.0,15.59
50,constitucion,mx,21.24935855769307,-114.91201804207716,82.4,30.0,75.0,5.82
51,rikitea,pf,-58.13490914989178,-129.95677204374226,72.83,100.0,0.0,13.8
52,isangel,vu,-18.06190815819069,176.2027871117681,73.19,100.0,20.0,16.6
53,east london,za,-64.17561156001855,46.67375738555265,68.87,94.0,44.0,13.02
54,teahupoo,pf,-19.495124004447163,-148.9249467442636,80.6,69.0,75.0,5.82
55,aklavik,ca,69.07054942190959,-139.4777507430663,54.37,81.0,75.0,9.17
56,lebedyn,ua,50.24965602130314,34.32985909547247,55.73,46.0,0.0,6.53
58,ribeira grande,pt,28.308072438261306,-38.14471038309097,73.82,100.0,0.0,9.22
59,hithadhoo,mv,-14.164672052906667,82.61638134195181,80.3,100.0,36.0,7.43
60,yangliuqing,cn,38.95113981831747,116.99788705835829,78.8,61.0,0.0,4.47
61,narsaq,gl,82.98073750990369,-65.60444557324946,44.6,81.0,75.0,4.7
62,brae,gb,66.11337811470895,-2.2174114584341282,51.8,81.0,92.0,12.75
